step,buy,upgrade_cost,effective_damage_gain,effective_gain_per_cost,damage_level,quantity_level,chance_level,damage,quantity,chance,total_cost,effective_damage
1,Damage,5,0.05000000000000002,0.010000000000000004,2,1,1,3,1,5,5,0.15000000000000002
2,Damage,11,0.09999999999999998,0.009090909090909089,3,1,1,5,1,5,16,0.25
3,Damage,17,0.2,0.011764705882352941,4,1,1,9,1,5,33,0.45
4,Chance,8,0.13499999999999995,0.016874999999999994,4,1,2,9,1,6.5,41,0.585
5,Quantity,30,0.585,0.0195,4,2,2,9,2,6.5,71,1.17
6,Damage,23,0.6500000000000001,0.028260869565217398,5,2,2,14,2,6.5,94,1.82
7,Damage,29,1.0400000000000003,0.03586206896551725,6,2,2,22,2,6.5,123,2.8600000000000003
8,Damage,35,1.2999999999999998,0.03714285714285714,7,2,2,32,2,6.5,158,4.16
9,Damage,41,1.8200000000000003,0.04439024390243903,8,2,2,46,2,6.5,199,5.98
10,Chance,26,1.38,0.05307692307692307,8,2,3,46,2,8,225,7.36
11,Damage,47,2.7199999999999998,0.05787234042553191,9,2,3,63,2,8,272,10.08
12,Quantity,75,5.040000000000001,0.06720000000000001,9,3,3,63,3,8,347,15.120000000000001
13,Damage,53,5.280000000000001,0.09962264150943398,10,3,3,85,3,8,400,20.400000000000002
14,Damage,61,6.719999999999999,0.11016393442622949,11,3,3,113,3,8,461,27.12
15,Damage,71,8.400000000000002,0.11830985915492961,12,3,3,148,3,8,532,35.52
16,Chance,44,6.659999999999997,0.15136363636363628,12,3,4,148,3,9.5,576,42.18
17,Damage,84,12.255000000000003,0.14589285714285719,13,3,4,191,3,9.5,660,54.435
18,Damage,100,15.105000000000004,0.15105000000000005,14,3,4,244,3,9.5,760,69.54
19,Chance,62,10.97999999999999,0.17709677419354822,14,3,5,244,3,11,822,80.52
20,Quantity,150,26.840000000000003,0.17893333333333336,14,4,5,244,4,11,972,107.36
21,Damage,120,28.60000000000001,0.2383333333333334,15,4,5,309,4,11,1092,135.96
22,Damage,144,34.31999999999999,0.23833333333333329,16,4,5,387,4,11,1236,170.28
23,Chance,80,23.22,0.29025,16,4,6,387,4,12.5,1316,193.5
24,Damage,174,47.5,0.27298850574712646,17,4,6,482,4,12.5,1490,241.0
25,Chance,98,28.920000000000016,0.2951020408163267,17,4,7,482,4,14,1588,269.92
26,Damage,210,63.84000000000003,0.30400000000000016,18,4,7,596,4,14,1798,333.76000000000005
27,Chance,116,35.759999999999934,0.30827586206896496,18,4,8,596,4,15.5,1914,369.52
28,Damage,252,84.94,0.33706349206349207,19,4,8,733,4,15.5,2166,454.46
29,Damage,302,102.30000000000001,0.3387417218543047,20,4,8,898,4,15.5,2468,556.76
30,Chance,134,53.88000000000011,0.40208955223880677,20,4,9,898,4,17,2602,610.6400000000001
31,Quantity,400,152.65999999999997,0.38164999999999993,20,5,9,898,5,17,3002,763.3000000000001
32,Damage,362,166.60000000000002,0.4602209944751382,21,5,9,1094,5,17,3364,929.9000000000001
33,Chance,152,82.04999999999984,0.5398026315789464,21,5,10,1094,5,18.5,3516,1011.9499999999999
34,Damage,434,216.45000000000016,0.4987327188940096,22,5,10,1328,5,18.5,3950,1228.4
35,Chance,170,99.59999999999991,0.585882352941176,22,5,11,1328,5,20,4120,1328.0
36,Damage,525,279.0,0.5314285714285715,23,5,11,1607,5,20,4645,1607.0
37,Chance,188,120.52499999999986,0.6410904255319142,23,5,12,1607,5,21.5,4833,1727.5249999999999
38,Chance,206,120.52500000000032,0.5850728155339822,23,5,13,1607,5,23,5039,1848.0500000000002
39,Damage,636,379.5,0.5966981132075472,24,5,13,1937,5,23,5675,2227.55
40,Chance,224,145.27499999999964,0.6485491071428555,24,5,14,1937,5,24.5,5899,2372.825
41,Damage,767,480.2000000000003,0.6260756192959587,25,5,14,2329,5,24.5,6666,2853.025
42,Chance,242,174.67500000000018,0.7217975206611578,25,5,15,2329,5,26,6908,3027.7000000000003
43,Chance,260,174.67500000000018,0.6718269230769238,25,5,16,2329,5,27.5,7168,3202.3750000000005
44,Damage,923,639.375,0.6927139761646804,26,5,16,2794,5,27.5,8091,3841.7500000000005
45,Damage,1109,753.4999999999995,0.6794409377817849,27,5,16,3342,5,27.5,9200,4595.25
46,Damage,1295,891.0,0.6880308880308881,28,5,16,3990,5,27.5,10495,5486.25
47,Damage,1521,1051.875000000001,0.6915680473372787,29,5,16,4755,5,27.5,12016,6538.125000000001
48,Damage,1787,1237.5,0.6925013989927252,30,5,16,5655,5,27.5,13803,7775.625000000001
49,Damage,2103,1457.499999999999,0.6930575368521156,31,5,16,6715,5,27.5,15906,9233.125
50,Damage,2469,1713.25,0.6939044147428108,32,5,16,7961,5,27.5,18375,10946.375
